statusid,officeid,schedstatus,schedgroup,isdefault,hold,processbilling,processpay,credit,interpOption,bgcolor,fgcolor,active
365,5,BILLING HOLD,,False,True,False,False,False,False,,,True
366,8,BILLING HOLD,,False,True,False,False,False,False,,,True
367,2,BILLING HOLD,,False,True,False,False,False,False,,,True
368,9,BILLING HOLD,,False,True,False,False,False,False,,,True
369,5,VOLUNTEER,,False,True,False,False,False,False,,,True
370,18,PENDING,PENDING,False,True,False,False,False,False,#CC0000,#FFFFFF,True
371,18,CONFIRMED,PENDING,False,True,False,False,False,True,#008F00,#FFFFFF,True
372,18,CANCEL MORE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
373,18,CANCEL LESS,CANCEL_BILL,False,False,True,True,False,False,#000099,#FFFFFF,True
374,18,NO SHOW,CANCEL_BILL,False,False,True,True,False,True,#000099,#FFFFFF,True
375,18,COMPLETED,COMPLETED,False,False,True,True,False,True,#000099,#FFFFFF,True
376,18,OBSERVATION,COMPLETED,False,True,False,False,False,False,#000099,#FFFFFF,True
377,18,CANCEL WEATHER,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
378,18,CANCEL NO CHARGE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
379,18,UNABLE,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
380,18,TERP NO SHOW,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
381,18,CANCELED UPON ARRIVAL,CANCEL_BILL,False,False,True,True,False,True,#000099,#FFFFFF,True
382,18,UNFILLED,UNFILLED,False,True,False,False,False,False,#FFCC00,#000000,True
383,18,FILLED,PENDING,False,True,False,False,False,False,,,True
384,18,TERP CANCEL,UNFILLED,False,False,False,False,False,False,,,True
385,18,TERP BILL,CANCEL_BILL,False,True,False,True,False,False,,,True
386,18,AGENCY HOLD,PENDING,False,True,False,False,False,False,,,True
387,18,TERP HOLD,PENDING,False,True,False,False,False,False,,,True
388,18,CANCEL PRE-BILL,CANCEL_NC,False,True,False,False,False,False,,,True
389,18,UNFILLED/RC,UNFILLED,False,True,False,False,False,False,#6600CC,#FFFFFF,True
390,18,UNFILLED/AB,UNFILLED,False,True,False,False,False,False,#993300,#FFFFFF,True
391,18,UNABLE/ER,UNFILLED,False,False,False,False,False,False,,,True
392,18,DELETE,CANCEL_NC,False,False,False,False,False,False,,,True
393,18,SAME DAY,PENDING,False,True,False,False,False,False,,,True
394,18,BILLING HOLD,,False,True,False,False,False,False,,,True
395,16,TERP BILL CSD,,False,True,False,True,False,False,,,True
396,16,TERP BILL LSS,,False,True,False,True,False,False,,,True
397,17,PENDING,PENDING,False,True,False,False,False,False,#CC0000,#FFFFFF,True
398,17,CONFIRMED,PENDING,False,True,False,False,False,True,#008F00,#FFFFFF,True
399,17,CANCEL MORE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
400,17,CANCEL LESS,CANCEL_BILL,False,False,True,True,False,False,#000099,#FFFFFF,True
401,17,NO SHOW,CANCEL_BILL,False,False,True,True,False,True,#000099,#FFFFFF,True
402,17,COMPLETED,COMPLETED,False,False,True,True,False,True,#000099,#FFFFFF,True
403,17,OBSERVATION,COMPLETED,False,True,False,False,False,False,#000099,#FFFFFF,True
404,17,CANCEL WEATHER,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
405,17,CANCEL NO CHARGE,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
406,17,UNABLE,UNFILLED,False,False,False,False,False,False,#663300,#FFFFFF,True
407,17,TERP NO SHOW,CANCEL_NC,False,False,False,False,False,False,#663300,#FFFFFF,True
408,17,CANCELED UPON ARRIVAL,CANCEL_BILL,False,False,True,True,False,True,#000099,#FFFFFF,True
409,17,UNFILLED,UNFILLED,False,True,False,False,False,False,#FFCC00,#000000,True
410,17,FILLED,PENDING,False,True,False,False,False,False,,,True
411,17,TERP CANCEL,UNFILLED,False,False,False,False,False,False,,,True
412,17,TERP BILL,CANCEL_BILL,False,True,False,True,False,False,,,True
413,17,AGENCY HOLD,PENDING,False,True,False,False,False,False,,,True
414,17,TERP HOLD,PENDING,False,True,False,False,False,False,,,True
415,17,CANCEL LESS-PB,CANCEL_NC,False,True,False,False,False,False,,,True
416,17,UNFILLED/RC,UNFILLED,False,True,False,False,False,False,#6600CC,#FFFFFF,True
417,17,UNFILLED/AB,UNFILLED,False,True,False,False,False,False,#993300,#FFFFFF,True
418,17,UNABLE/ER,UNFILLED,False,False,False,False,False,False,,,True
419,17,DELETE,CANCEL_NC,False,False,False,False,False,False,,,True
420,17,SAME DAY,PENDING,False,True,False,False,False,False,,,True
421,17,BILLING HOLD,,False,True,False,False,False,False,,,True
422,16,90 DAYS CLOSED,,False,True,False,False,False,False,,,True
