"PublisherName"		"AppName"
Adobe Systems Incorporated		Acrobat Reader
Adobe Systems Incorporated		Acrobat Reader (16-bit)
Adobe Systems Incorporated		Acrobat eBook Reader
Adobe Systems Incorporated		ActiveShare
Adobe Systems Incorporated		Adobe Acrobat
Adobe Systems Incorporated		Adobe Acrobat Elements
Adobe Systems Incorporated		Adobe After Effects
Adobe Systems Incorporated		Adobe After Effects CS3
Adobe Systems Incorporated		Adobe Audition
Adobe Systems Incorporated		Adobe Bridge
Adobe Systems Incorporated		Adobe Bridge CS3
Adobe Systems Incorporated		Adobe Captivate
Adobe Systems Incorporated		Adobe Contribute
Adobe Systems Incorporated		Adobe Design Premium
Adobe Systems Incorporated		Adobe Designer
Adobe Systems Incorporated		Adobe Device Central CS3
Adobe Systems Incorporated		Adobe Dimensions
Adobe Systems Incorporated		Adobe Download Manager
Adobe Systems Incorporated		Adobe Dreamweaver
Adobe Systems Incorporated		Adobe Encore DVD
Adobe Systems Incorporated		Adobe ExtendScript Toolkit
Adobe Systems Incorporated		Adobe Extension Manager
Adobe Systems Incorporated		Adobe Fireworks
Adobe Systems Incorporated		Adobe Flash
Adobe Systems Incorporated		Adobe Flash Video Encoder
Adobe Systems Incorporated		Adobe Font Minder
Adobe Systems Incorporated		Adobe Font Monger
Adobe Systems Incorporated		Adobe FontFoundry
Adobe Systems Incorporated		Adobe GoLive
Adobe Systems Incorporated		Adobe Help Center
Adobe Systems Incorporated		Adobe Help Viewer
Adobe Systems Incorporated		Adobe Illustrator
Adobe Systems Incorporated		Adobe Illustrator CS2
Adobe Systems Incorporated		Adobe Illustrator CS3
Adobe Systems Incorporated		Adobe InDesign
Adobe Systems Incorporated		Adobe InDesign CS3
Adobe Systems Incorporated		Adobe PageMaker
Adobe Systems Incorporated		Adobe Photoshop Album
Adobe Systems Incorporated		Adobe Photoshop Album Starter Edition
Adobe Systems Incorporated		Adobe Photoshop Elements
Adobe Systems Incorporated		Adobe Premiere
Adobe Systems Incorporated		Adobe Premiere Elements
Adobe Systems Incorporated		Adobe Premiere Pro
Adobe Systems Incorporated		Adobe Premiere Pro CS3
Adobe Systems Incorporated		Adobe Reader
Adobe Systems Incorporated		Adobe Reader for Palm OS
Adobe Systems Incorporated		Adobe Stock Photos CS3
Adobe Systems Incorporated		Adobe Streamline
Adobe Systems Incorporated		Adobe Type Align
Adobe Systems Incorporated		Adobe Type Manager
Adobe Systems Incorporated		Adobe Type Manager Deluxe
Adobe Systems Incorporated		Adobe Type Manager for NT
Adobe Systems Incorporated		Adobe Type Manager for Windows NT 4.0
Adobe Systems Incorporated		Adobe Type On Call
Adobe Systems Incorporated		Adobe Version Cue
Adobe Systems Incorporated		Adobe Version Cue CS2
Adobe Systems Incorporated		ExtendScript Toolkit
Adobe Systems Incorporated		FrameMaker
Adobe Systems Incorporated		FrameMaker+SGML
Adobe Systems Incorporated		FrameViewer
Adobe Systems Incorporated		Framemaker
Adobe Systems Incorporated		Illustrator
Adobe Systems Incorporated		ImageReady
Adobe Systems Incorporated		IntelliDraw
Adobe Systems Incorporated		KODAK Picture CD
Adobe Systems Incorporated		PDFMaker
Adobe Systems Incorporated		PageMaker
Adobe Systems Incorporated		PageMill
Adobe Systems Incorporated		PageMill Tryout
Adobe Systems Incorporated		Persuasion
Adobe Systems Incorporated		Persuasion Player
Adobe Systems Incorporated		PhotoDeluxe
Adobe Systems Incorporated		PhotoDeluxe Business Edition
Adobe Systems Incorporated		PhotoDeluxe Home Edition
Adobe Systems Incorporated		Photoshop
Adobe Systems Incorporated		Photoshop Album Starter Edition
Adobe Systems Incorporated		Photoshop CS2
Adobe Systems Incorporated		Photoshop CS3
Adobe Systems Incorporated		Photoshop Elements
Adobe Systems Incorporated		Photoshop LE
Adonis Corporation (See Vogo Networks)		None
AdultPDF.com Inc		TIFF to PDF
Advanced Micro Devices Inc.		AMD Dual-Core Optimizer
Advanced Micro Devices Inc.		CATALYST Install Manager
Advanced Micro Devices Inc.		Magic Packet Utility
Advanced Software Products		None
Advanced System Technologies Ltd.		Datefind - Y2K (sp1)
Advanced Systems Concepts Inc.		SEQUEL ViewPoint
Advansys Pty Limited		Advansys Formativ
Advantage Plus Distributors Inc.		None
Advantrics LLC		Theme Install
Advocate Solutions Inc.		None
Aegis Research Corporation		ACSL Math
Affiliated Software		Best Businesses
Affinity Microsystems Ltd.		Tempo for Windows
Afreet Software Inc.		Net Vampire
Agere Systems		Access Point Manager
