Non-recursive (store_in_bucket) !!!

{"directory":{"downloads.vyperlogix.com":{"web":{"content":{"memcached":{"installers":{"windows":{"memcached-win32-1.4.4-14":{"memcached.exe":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/memcached.exe","pthreadGC2.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/pthreadGC2.dll","INSTALL":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/INSTALL","README":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/README","libgcc_s_sjlj-1.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/libgcc_s_sjlj-1.dll","mingwm10.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win32-1.4.4-14\/mingwm10.dll"},"memcached-win64-1.4.4-14":{"README":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/README","pthreadGC2.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/pthreadGC2.dll","memcached.exe":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/memcached.exe","INSTALL":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/INSTALL","libgcc_s_sjlj-1.dll":"\/downloads.vyperlogix.com\/web\/content\/memcached\/installers\/windows\/memcached-win64-1.4.4-14\/libgcc_s_sjlj-1.dll"}}}}}}}}}
         20621 function calls (20571 primitive calls) in 2.425 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1151(warning)
        1    0.000    0.000    0.000    0.000 __init__.py:1165(error)
        1    0.008    0.008    0.010    0.010 __init__.py:119(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:1198(log)
        1    0.000    0.000    0.000    0.000 __init__.py:120(hostname)
        2    0.000    0.000    0.000    0.000 __init__.py:1215(findCaller)
        2    0.000    0.000    0.000    0.000 __init__.py:122(fget)
        2    0.000    0.000    0.000    0.000 __init__.py:1236(makeRecord)
        2    0.000    0.000    0.000    0.000 __init__.py:1249(_log)
        1    0.000    0.000    0.000    0.000 __init__.py:127(port)
        2    0.000    0.000    0.000    0.000 __init__.py:1270(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:129(fget)
        2    0.000    0.000    0.000    0.000 __init__.py:1302(callHandlers)
       23    0.000    0.000    0.000    0.000 __init__.py:1328(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:133(EndOfFile)
        1    0.000    0.000    0.000    0.000 __init__.py:134(NotCerealizerFileError)
        1    0.000    0.000    0.000    0.000 __init__.py:134(username)
       23    0.000    0.000    0.000    0.000 __init__.py:1342(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:135(NonCerealizableObjectError)
        1    0.000    0.000    0.000    0.000 __init__.py:136(fget)
        1    0.000    0.000    0.000    0.000 __init__.py:139(Dumper)
        1    0.000    0.000    0.000    0.000 __init__.py:141(password)
        1    0.000    0.000    0.000    0.000 __init__.py:143(fget)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:148(transport)
        7    0.000    0.000    0.000    0.000 __init__.py:150(fget)
        2    0.000    0.000    0.000    0.000 __init__.py:153(getLevelName)
        9    0.000    0.000    0.001    0.000 __init__.py:1549(getLogger)
